"Activity" "Measurement" "mean" "std_dev"
"LAYING" "angletBodyAccJerkMean_gravityMean" 0.0160126165105041 0.343756416830067
"LAYING" "angletBodyAccMean_gravity" 0.0103659924336903 0.220319715328529
"LAYING" "angletBodyGyroJerkMean_gravityMean" 0.00919134168691049 0.392164742288095
"LAYING" "angletBodyGyroMean_gravityMean" 0.0227878882086008 0.369517607872874
"LAYING" "angleX_gravityMean" 0.520261132799383 0.137676906225248
"LAYING" "angleY_gravityMean" -0.435944284216049 0.335728595445136
"LAYING" "angleZ_gravityMean" -0.42774881762037 0.351077564597764
"LAYING" "fBodyAcc_bandsEnergy_1_16" -0.995821497067901 0.0259435135065211
"LAYING" "fBodyAcc_bandsEnergy_1_16_1" -0.988507269890432 0.0753246302413376
"LAYING" "fBodyAcc_bandsEnergy_1_16_2" -0.990538686365226 0.0548226626655766
"LAYING" "fBodyAcc_bandsEnergy_1_24" -0.996033942762346 0.0243966395883223
"LAYING" "fBodyAcc_bandsEnergy_1_24_1" -0.989247617361111 0.0694909825801618
"LAYING" "fBodyAcc_bandsEnergy_1_24_2" -0.99067263662037 0.0533906505497617
"LAYING" "fBodyAcc_bandsEnergy_1_8" -0.995025651959877 0.0313553598813644
"LAYING" "fBodyAcc_bandsEnergy_1_8_1" -0.986115568352366 0.0941889710710938
"LAYING" "fBodyAcc_bandsEnergy_1_8_2" -0.988955901294239 0.0658505546578112
"LAYING" "fBodyAcc_bandsEnergy_17_24" -0.998786003734568 0.00659505236246315
"LAYING" "fBodyAcc_bandsEnergy_17_24_1" -0.998578115987654 0.00590254211511392
"LAYING" "fBodyAcc_bandsEnergy_17_24_2" -0.998923456512346 0.00390483165357515
"LAYING" "fBodyAcc_bandsEnergy_17_32" -0.998503668914609 0.00775128886662503
"LAYING" "fBodyAcc_bandsEnergy_17_32_1" -0.998067777273663 0.00812899881147623
"LAYING" "fBodyAcc_bandsEnergy_17_32_2" -0.999056469804527 0.00346741322536749
"LAYING" "fBodyAcc_bandsEnergy_25_32" -0.998456809140946 0.00758394379444023
"LAYING" "fBodyAcc_bandsEnergy_25_32_1" -0.998042425658436 0.00981999909301054
"LAYING" "fBodyAcc_bandsEnergy_25_32_2" -0.999198555072016 0.00290225910506078
"LAYING" "fBodyAcc_bandsEnergy_25_48" -0.998045488863169 0.0103339929127018
"LAYING" "fBodyAcc_bandsEnergy_25_48_1" -0.997390602839506 0.0143325613341161
"LAYING" "fBodyAcc_bandsEnergy_25_48_2" -0.998965525082305 0.00433228059841811
"LAYING" "fBodyAcc_bandsEnergy_33_40" -0.998353278585391 0.00927879734801821
"LAYING" "fBodyAcc_bandsEnergy_33_40_1" -0.996739617237654 0.0231439851239602
"LAYING" "fBodyAcc_bandsEnergy_33_40_2" -0.99875433406893 0.0055805499710344
"LAYING" "fBodyAcc_bandsEnergy_33_48" -0.998208645036008 0.0107247433635737
"LAYING" "fBodyAcc_bandsEnergy_33_48_1" -0.99619874122428 0.0236103582422695
"LAYING" "fBodyAcc_bandsEnergy_33_48_2" -0.998322598436214 0.00826718317065244
"LAYING" "fBodyAcc_bandsEnergy_41_48" -0.997927276615226 0.0133563526857284
"LAYING" "fBodyAcc_bandsEnergy_41_48_1" -0.9962193375 0.0199979426323273
"LAYING" "fBodyAcc_bandsEnergy_41_48_2" -0.997258452968107 0.0146284049890626
"LAYING" "fBodyAcc_bandsEnergy_49_56" -0.997906354490741 0.0141960407820001
"LAYING" "fBodyAcc_bandsEnergy_49_56_1" -0.994317180997942 0.0387709376299538
"LAYING" "fBodyAcc_bandsEnergy_49_56_2" -0.995610876162551 0.0284632776682555
"LAYING" "fBodyAcc_bandsEnergy_49_64" -0.997445752381687 0.0178082809319972
"LAYING" "fBodyAcc_bandsEnergy_49_64_1" -0.994242392217078 0.0390571653298652
"LAYING" "fBodyAcc_bandsEnergy_49_64_2" -0.994748821105967 0.0364426073498016
"LAYING" "fBodyAcc_bandsEnergy_57_64" -0.996532095416667 0.0250659205740211
"LAYING" "fBodyAcc_bandsEnergy_57_64_1" -0.994576764212963 0.0393007419572605
"LAYING" "fBodyAcc_bandsEnergy_57_64_2" -0.992829819569444 0.0553775323529151
"LAYING" "fBodyAcc_bandsEnergy_9_16" -0.999289665102881 0.00347734118386637
"LAYING" "fBodyAcc_bandsEnergy_9_16_1" -0.998308017165638 0.00955676327692113
"LAYING" "fBodyAcc_bandsEnergy_9_16_2" -0.99794135906893 0.00974062075417667
"LAYING" "fBodyAcc_energy_X" -0.996086992278807 0.0239554379981699
"LAYING" "fBodyAcc_energy_Y" -0.989281814830247 0.0689036051918252
"LAYING" "fBodyAcc_energy_Z" -0.990692792546811 0.0530478063833931
"LAYING" "fBodyAcc_entropy_X" -0.784361374882757 0.233073304360633
"LAYING" "fBodyAcc_entropy_Y" -0.807056983509362 0.244521940908329
"LAYING" "fBodyAcc_entropy_Z" -0.758404407963673 0.226369935880852
"LAYING" "fBodyAcc_iqr_X" -0.974393437294239 0.0410134679549006
"LAYING" "fBodyAcc_iqr_Y" -0.973083453281893 0.0451181476523806
"LAYING" "fBodyAcc_iqr_Z" -0.971587177247942 0.036102961689137
"LAYING" "fBodyAcc_kurtosis_X" -0.245536835990195 0.585539313035314
"LAYING" "fBodyAcc_kurtosis_Y" -0.506580897945211 0.529640219081213
"LAYING" "fBodyAcc_kurtosis_Z" -0.524295839763735 0.450233819275779
"LAYING" "fBodyAcc_mad_X" -0.965063047685185 0.0686820912515471
"LAYING" "fBodyAcc_mad_Y" -0.953019100161008 0.103150923253066
"LAYING" "fBodyAcc_mad_Z" -0.955573721567387 0.0945147896579119
"LAYING" "fBodyAcc_max_X" -0.959103713073354 0.0822479860514459
"LAYING" "fBodyAcc_max_Y" -0.947979310637346 0.132965191737526
"LAYING" "fBodyAcc_max_Z" -0.938341626014918 0.151402117794254
"LAYING" "fBodyAcc_maxInds_X" -0.872162485343621 0.246635385538977
"LAYING" "fBodyAcc_maxInds_Y" -0.776508916199074 0.32924106325189
"LAYING" "fBodyAcc_maxInds_Z" -0.838121240768519 0.316387117113079
"LAYING" "fBodyAcc_mean_X" -0.966812071347737 0.0668227950287801
"LAYING" "fBodyAcc_mean_Y" -0.952678416904835 0.0984647326044538
"LAYING" "fBodyAcc_mean_Z" -0.960018019984568 0.0830500662119204
"LAYING" "fBodyAcc_meanFreq_X" -0.259376067222388 0.279422434897439
"LAYING" "fBodyAcc_meanFreq_Y" 0.143045583957866 0.283362985597088
"LAYING" "fBodyAcc_meanFreq_Z" 0.20318696277 0.265319881812399
"LAYING" "fBodyAcc_min_X" -0.969357778704218 0.114276418314957
"LAYING" "fBodyAcc_min_Y" -0.97187924330607 0.104858296918849
"LAYING" "fBodyAcc_min_Z" -0.975644422080247 0.0810448275843347
"LAYING" "fBodyAcc_skewness_X" 0.0399265958259619 0.498654778928914
"LAYING" "fBodyAcc_skewness_Y" -0.240839529983236 0.4878832832806
"LAYING" "fBodyAcc_skewness_Z" -0.320637661136986 0.449734179178638
"LAYING" "fBodyAcc_sma" -0.958172391069959 0.0840056952361202
"LAYING" "fBodyAcc_std_X" -0.959031456047479 0.0814976188107455
"LAYING" "fBodyAcc_std_Y" -0.942460971074588 0.138458956640649
"LAYING" "fBodyAcc_std_Z" -0.945643635450566 0.129110832633059
"LAYING" "fBodyAccJerk_bandsEnergy_1_16" -0.99959692061214 0.00171128202368611
"LAYING" "fBodyAccJerk_bandsEnergy_1_16_1" -0.998455382736625 0.010765745534749
"LAYING" "fBodyAccJerk_bandsEnergy_1_16_2" -0.998148825385803 0.0099486556521708
"LAYING" "fBodyAccJerk_bandsEnergy_1_24" -0.999411581723251 0.00252945821104045
"LAYING" "fBodyAccJerk_bandsEnergy_1_24_1" -0.998331635570988 0.00936819149893597
"LAYING" "fBodyAccJerk_bandsEnergy_1_24_2" -0.99870011183642 0.00554356936417983
"LAYING" "fBodyAccJerk_bandsEnergy_1_8" -0.99970566725823 0.00147211766855202
"LAYING" "fBodyAccJerk_bandsEnergy_1_8_1" -0.997689435216049 0.0243348986596921
"LAYING" "fBodyAccJerk_bandsEnergy_1_8_2" -0.998500116728395 0.0115192748860415
"LAYING" "fBodyAccJerk_bandsEnergy_17_24" -0.999295756738683 0.0032039070596775
"LAYING" "fBodyAccJerk_bandsEnergy_17_24_1" -0.998757992505144 0.0053491266746982
"LAYING" "fBodyAccJerk_bandsEnergy_17_24_2" -0.999240657772634 0.00251386502243294
"LAYING" "fBodyAccJerk_bandsEnergy_17_32" -0.999085405411523 0.00408560893220027
"LAYING" "fBodyAccJerk_bandsEnergy_17_32_1" -0.99852177744856 0.00668030259042402
"LAYING" "fBodyAccJerk_bandsEnergy_17_32_2" -0.999383567088477 0.00199935759234927
"LAYING" "fBodyAccJerk_bandsEnergy_25_32" -0.999167395169753 0.00399209381263446
"LAYING" "fBodyAccJerk_bandsEnergy_25_32_1" -0.998767670174897 0.00714718306023814
"LAYING" "fBodyAccJerk_bandsEnergy_25_32_2" -0.999472622983539 0.0015867474427185
"LAYING" "fBodyAccJerk_bandsEnergy_25_48" -0.998979827654321 0.00429770586408613
"LAYING" "fBodyAccJerk_bandsEnergy_25_48_1" -0.998499714022634 0.0104316513550568
"LAYING" "fBodyAccJerk_bandsEnergy_25_48_2" -0.999376810077161 0.00190265435707205
"LAYING" "fBodyAccJerk_bandsEnergy_33_40" -0.999461774140947 0.00199012104627103
"LAYING" "fBodyAccJerk_bandsEnergy_33_40_1" -0.998500566800412 0.0155589705095508
"LAYING" "fBodyAccJerk_bandsEnergy_33_40_2" -0.999384679382716 0.00186280877464804
"LAYING" "fBodyAccJerk_bandsEnergy_33_48" -0.999378686949588 0.00227448145612713
"LAYING" "fBodyAccJerk_bandsEnergy_33_48_1" -0.998059208960905 0.0162755865578093
"LAYING" "fBodyAccJerk_bandsEnergy_33_48_2" -0.999162313549383 0.00281727610919177
"LAYING" "fBodyAccJerk_bandsEnergy_41_48" -0.999335280771605 0.00247333553009408
"LAYING" "fBodyAccJerk_bandsEnergy_41_48_1" -0.99820105686214 0.00927467393355177
"LAYING" "fBodyAccJerk_bandsEnergy_41_48_2" -0.998758917093621 0.00502605671754181
"LAYING" "fBodyAccJerk_bandsEnergy_49_56" -0.999555414501029 0.00215714039488372
"LAYING" "fBodyAccJerk_bandsEnergy_49_56_1" -0.998156528194444 0.0198574898755344
"LAYING" "fBodyAccJerk_bandsEnergy_49_56_2" -0.998087615015432 0.0128640817625448
"LAYING" "fBodyAccJerk_bandsEnergy_49_64" -0.999539889727366 0.00222070712065333
"LAYING" "fBodyAccJerk_bandsEnergy_49_64_1" -0.99833504649177 0.0174545850910433
"LAYING" "fBodyAccJerk_bandsEnergy_49_64_2" -0.998099284022634 0.0123973736555043
"LAYING" "fBodyAccJerk_bandsEnergy_57_64" -0.999879694115226 0.000954526820021867
"LAYING" "fBodyAccJerk_bandsEnergy_57_64_1" -0.999539873302469 0.00234008228817956
"LAYING" "fBodyAccJerk_bandsEnergy_57_64_2" -0.999242309562757 0.00640659974698789
"LAYING" "fBodyAccJerk_bandsEnergy_9_16" -0.999574204382716 0.00195250410401692
"LAYING" "fBodyAccJerk_bandsEnergy_9_16_1" -0.998889192484568 0.00651088054614048
"LAYING" "fBodyAccJerk_bandsEnergy_9_16_2" -0.998419973868313 0.00750642777646809
"LAYING" "fBodyAccJerk_energy_X" -0.999311794783951 0.0028233951361302
"LAYING" "fBodyAccJerk_energy_Y" -0.998233764773663 0.0106530498747374
"LAYING" "fBodyAccJerk_energy_Z" -0.999044953034979 0.0037590752193706
"LAYING" "fBodyAccJerk_entropy_X" -0.933584416930556 0.155126154163631
"LAYING" "fBodyAccJerk_entropy_Y" -0.924263985115895 0.178379462706523
"LAYING" "fBodyAccJerk_entropy_Z" -0.918101501026698 0.165678099693652
"LAYING" "fBodyAccJerk_iqr_X" -0.977639529691358 0.0303843610458147
"LAYING" "fBodyAccJerk_iqr_Y" -0.977806778503086 0.0352064444845206
"LAYING" "fBodyAccJerk_iqr_Z" -0.976639419583333 0.0286544959597438
"LAYING" "fBodyAccJerk_kurtosis_X" -0.796412045542181 0.141341194612254
"LAYING" "fBodyAccJerk_kurtosis_Y" -0.875929379490741 0.0885984424243164
"LAYING" "fBodyAccJerk_kurtosis_Z" -0.853484045160648 0.122352985502035
"LAYING" "fBodyAccJerk_mad_X" -0.977779475128601 0.0304081277573363
"LAYING" "fBodyAccJerk_mad_Y" -0.973146539274691 0.0436270263018685
"LAYING" "fBodyAccJerk_mad_Z" -0.979130625421811 0.0288599642236576
"LAYING" "fBodyAccJerk_max_X" -0.986431764259259 0.0174954198371831
"LAYING" "fBodyAccJerk_max_Y" -0.97762250837963 0.0351312385951415
